0			,262434
0.00126116	,1.36669E+06
0.00156868	,1.66844E+06
0.00249188	,1.03978E+07
0.00310928	,1.98479E+07
0.00369458	,3.04558E+07
0.00461933	,4.95477E+07
0.00487531	,5.51169E+07
0.00603549	,8.12984E+07
0.00608971	,8.25219E+07
0.00719107	,1.06889E+08
0.00747344	,1.13012E+08
0.00853151	,1.34718E+08
0.00865171	,1.37156E+08
0.00938054	,1.50596E+08
0.0102575	,1.63989E+08
0.0111708	,1.77043E+08
0.011513	,1.81803E+08
0.0121152	,1.88731E+08
0.0130409	,1.94339E+08
0.0139397	,1.93436E+08
0.0142507	,2.10071E+08
0.0149004	,2.07036E+08
0.0160131	,2.05849E+08
0.0167126	,2.12182E+08
0.0167714	,2.11225E+08
0.0178415	,1.99181E+08
0.0189251	,1.9193E+08
0.0199409	,1.82222E+08
0.0209375	,1.72116E+08
0.0218986	,1.62363E+08
0.022828	,1.55037E+08
0.0235046	,1.51759E+08
0.0238756	,1.52333E+08
0.0242137	,1.52717E+08
0.0249282	,1.59965E+08
0.0257593	,1.78057E+08
0.026559	,2.06634E+08
0.0274816	,2.53919E+08
0.0283074	,3.09999E+08
0.0286983	,3.39202E+08
0.0297734	,4.22341E+08
0.0304201	,4.63164E+08
0.0308273	,4.90625E+08
0.032035	,5E+08
